"History  Revised: Friday, January 07, 2022",,,,,,,,
RC Transponder 2.4 GHz          Revision: 12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Bill Of Materials        January 7,2022 ",Page1,,,,,,,
,,,,,,,,
Item,Quantity,Reference,Part,PCB,Manufacturer,Manufacturer PN,Farnell Part Number,Farnell Price
______________________________________________,,,,,,,,
,,,,,,,,
1,1,+,Vbat+,testpin-0_6mm,,,,
2,1,-,Vbat-,testpin-0_6mm,,,,
3,3,"C1,C3,C27",1uF/10V,r_0402,Generic,"1uF, 0402, 10V",2320776,0.0519
4,2,"C2,C5",20pF,r_0402,Generic,"20pF, 0402, 50V, 5%",1740573,0.197
5,3,"C4,C22,C23",100uF/4V,r_0805,Generic,"100uF, 0805, 4V, 20%",2611937,5.43
6,1,C6,10uF/6V3,r_0402,Generic,"10uF, 0402, 6V3, 20%",2218854,2.01
7,10,"C9,C10,C11,C12,C14,C17,C18,C20,C25,C26",100nF,r_0402,Generic,"100nF, 0402, 16V 20%",2524679,0.0709
8,1,C13,4.7uF,r_0603,Generic,GRT188C81E475KE13D,2672151,1.68
9,2,"C15,C16",1nF,r_0402,Generic,"1nF, 0402, 25V, 10%",2332485,0.197
10,1,C19,4.7nF / 100V,r_0603,Walsin,0603B472K101CT,2495361,0.34
11,1,C24,10uF/6V3,r_0402,Generic,"10uF, 0402, 6V3",2218854,2.01
12,1,D4,LSQ976-Z,r_0603,OSRAM,LSQ976-Z,1226390,0.8813
13,1,D5,PRTR5V0U2X,r_sot143B,NXP,"PRTR5V0U2X,215",1524157,1.66
14,1,D7,BAT54C,r_sot23_123,On Semi,BAT54CLT1G,1431112,0.8448
15,2,"D8,D9",BAT54S,r_sot23,NXP,BAT54S,1081194,0.47
16,2,"FB1,FB2",470R@100MHz,r_0603,Murata,BLM18PG471SN1D,1515745,0.2592
17,1,J2,3x2.54mm,l_conn_1x3way-2_54mm_angled,Würth,61300311021,2356177,1.46
18,1,J3,ZX62-AB-5PA(31),r_usb-zx62-ab-5pa_31_,Hirose,ZX62-AB-5PA(31),2663341,4.06
19,2,"J4,J5",3x1_1.25mm DF13 connector,l_conn_DF13-3P-1_25DS,Hirose,DF13-3P-1.25DS(20),,2.66
20,1,J6,5x1_DF52_0.8mm connector,r_conn_DF52-5S-0_8H,Hirose,DF52-5S-0.8H(21),2853823,2.27
21,1,PCB1,TransponderRC2_4-12,,jlcpcb.com,Transponder V12,,35.87
22,1,P1,Heat Shrink 6cm,,PRO POWER,PP001992,2852319,6.12
23,2,"Q3,Q4",RZR040P01,r_sot23,ROHM,RZR040P01TL,2143957,3.6192
24,2,"Q5,Q7",DMP2065UFDB,r_u-dfn2020-6,Diodes Inc.,DMP2065UFDB-7,2709536,1.536
25,1,Q5,DMP2065UFDB,r_u-dfn2020-6,Diodes Inc.,DMP2065UFDB-7,2709536,1.54
26,2,"Q6,Q8",FDV301N,r_sot23,On Semi,FDV301N,9845011,1.48
27,1,R3,20k,r_0402,Generic,"20k,1%,0402",2130457,0.08
28,6,"R8,R22,R30,R36,R40,R41",100k,r_0402,Generic,"100k,1%,0402",2130514,0.08
29,1,R9,499k 0.1%,r_0402,NEOHM - TE CONNECTIVITY,CPF0402B499KE1,3579089,1.46
30,1,R10,100k 0.1%,r_0402,Generic,"100k, 0402, 50V, 0.1%",2838458,1.79
31,9,"R11,R15,R16,R27,R29,R31,R35,R37,R39",10k,r_0402,Generic,"10k,1%,0402",2130433,0.1
32,1,R13,1k3,r_0603,Generic,"1k3,1%,0603",2447277,0.1
33,3,"R17,R23,R42",1M,r_0402,Generic,"1M,1%,0402",2447127,0.08
34,5,"R18,R19,R32,R33,R34",1k,r_0402,Generic,"1k,1%,0402",2331474,0.1
35,1,R24,510k,r_0402,Generic,"510k,1%,0402",1458807,0.08
36,1,R28,68R,r_0402,Generic,"68R,1%,0402",2379929,0.1
37,1,R38,330R,r_0402,Generic,"330R,1%,0402",2861394,0.08
38,1,U1,MCP73831T-2ACI,r_sot23-5pin,Microchip,MCP73831T-2ACI/OT,1332158,4.8
39,1,U2,NCP718BMT500TBG,r_wdfn-6,On Semi,NCP718BMT500TBG,3010497,2.02
40,1,U3,LDLN025M33R,r_sot23-5pin,ST,LDLN025M33R,2851941,5
41,1,U4,ATSAMD21G18A-48,r_qfn48_7x7mm,Microchip,ATSAMD21E18A-MUT,2920752,17.76
42,1,U7,SN74LVC2G86DCTR,r_PDSO-G8,Texas Instruments,SN74LVC2G86DCTR,2334919,3.28
43,1,U8,E28-2G4M20S,r_rfE28-2g4m20s,Ebyte,e28-2g4m20s,,64
44,1,U10,Quectel-L80-R,r_L80_GPS,Quectel,L80-R,,30
45,1,U11,SN74LVC1G79,r_sot23-5pin,Texas Instruments,SN74LVC1G79DBVR,2342442,1.84
46,1,Vbat1,Li-ion 3.7V 50mAh,,Ebay / Aliexpress,Li-ion Cell 50mAh Size: 351015,,15
47,1,Y1,32.768kHz,r_xtal-abs07,Abracon,ABS07-32.768KHZ-T,2101347,3.0336
